date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap
2017-08-07,-0.04,0.78571732024015,-0.004,945.75,948.96,943.5,947.52,1445754,1445754,945.6973
2017-08-08,-1.56,0.782771807134599,-0.165,944.19,952.49,942.48,944.29,1505064,1505064,946.5152
2017-08-09,-4.11,0.775011512991129,-0.435,940.08,943.76,933.92,938.45,1400852,1400852,938.8258
2017-08-10,-16.49,0.743875928945916,-1.754,923.59,936.3,921.7768,935.0,2707393,2707393,927.8549
2017-08-11,6.5,0.756148900219044,0.704,930.09,933.36,921.22,923.71,1616708,1616708,928.5444
2017-08-14,8.84,0.772840141150498,0.9500000000000001,938.93,941.04,934.485,939.07,1150612,1150612,938.8745
2017-08-15,-0.85,0.771235214137858,-0.091,938.08,943.07,936.64,941.03,1106484,1106484,938.8217
2017-08-16,6.19,0.782922859088729,0.66,944.27,949.9,940.0391,941.25,1345261,1345261,944.8408
2017-08-17,-16.61,0.7515606971123201,-1.759,927.66,943.81,927.64,942.95,1695694,1695694,933.6884
2017-08-18,-1.48,0.7487662359609001,-0.16,926.18,931.02,923.45,926.98,1337404,1337404,927.3697
2017-08-21,-5.31,0.738740162505468,-0.5730000000000001,920.87,928.25,918.6,925.77,1301243,1301243,921.8823
2017-08-22,19.53,0.7756157208076521,2.121,940.4,941.9617,926.17,926.96,1775099,1775099,935.8596
2017-08-23,2.18,0.7797318865577161,0.232,942.58,945.425,935.24,937.0,1134464,1134464,941.2316
2017-08-24,-5.69,0.7689883163201621,-0.604,936.89,946.31,930.74,943.71,1294559,1294559,936.869
2017-08-25,-6.39,0.756923041483964,-0.682,930.5,940.73,930.1,939.21,1187313,1187313,934.2995
2017-08-28,-2.37,0.7524481273428391,-0.255,928.13,934.85,926.11,931.88,1049397,1049397,929.2324
2017-08-29,7.62,0.7668358259737981,0.8210000000000001,935.75,938.19,919.31,919.95,1158576,1158576,932.3536
2017-08-30,7.88,0.7817144434556831,0.842,943.63,945.86,934.05,935.67,1120342,1120342,941.8293
2017-08-31,11.61,0.803635858298917,1.23,955.24,957.195,946.25,946.3,1693313,1693313,954.3645
2017-09-01,-3.25,0.797499372662353,-0.34,951.99,958.33,950.28,957.47,1042885,1042885,953.3888
2017-09-05,-10.51,0.777654922188418,-1.104,941.48,951.3854,935.6,946.86,1460830,1460830,942.5012
2017-09-06,0.54,0.778674522878801,0.057,942.02,944.5,932.68,943.87,1391529,1391529,939.5332
2017-09-07,7.87,0.793534258866419,0.835,949.89,950.4965,937.53,944.25,1116575,1116575,945.8579
2017-09-08,-8.48,0.777522751728553,-0.893,941.41,950.7,940.01,949.7,999916,999916,944.489
2017-09-11,1.88,0.7810724726506271,0.2,943.29,952.68,941.0,947.2,1337365,1337365,946.2664
2017-09-12,3.36,0.787416654724121,0.356,946.65,948.085,937.5,946.92,1284787,1284787,943.3979
2017-09-13,3.79,0.794572741051068,0.4,950.44,952.85,944.74,945.5,1095382,1095382,949.5747
2017-09-14,-10.31,0.7751059204624601,-1.085,940.13,948.03,938.356,946.0,1427379,1427379,941.7134
2017-09-15,-4.84,0.7659672772375461,-0.515,935.29,941.75,931.25,940.09,1994265,1994265,936.9062
2017-09-18,-5.54,0.755506929413988,-0.592,929.75,936.86,925.4,935.01,1473651,1473651,931.5123
2017-09-19,7.11,0.7689316718373631,0.765,936.86,937.94,926.66,933.41,1242726,1242726,934.4843
2017-09-20,10.68,0.789097107713826,1.1400000000000001,947.54,950.0,937.5,937.73,2004018,2004018,945.589
2017-09-21,0.01,0.7891159892080931,0.001,947.55,952.8,939.38,948.13,1370685,1370685,947.7225
2017-09-22,-4.29,0.7810158281678281,-0.453,943.26,950.0,940.835,942.77,1074806,1074806,944.211
2017-09-25,-8.98,0.764060246316645,-0.9520000000000001,934.28,939.75,924.5101,939.45,1873375,1873375,930.9842
2017-09-26,3.15,0.770007917010545,0.337,937.43,944.08,935.12,936.69,1672749,1672749,939.18
2017-09-27,22.47,0.812434634627036,2.3970000000000002,959.9,965.43,941.95,942.74,2334635,2334635,955.6824
2017-09-28,4.91,0.821705448311814,0.512,964.81,966.18,955.55,956.25,1400931,1400931,962.1343
2017-09-29,8.91,0.8385288597031331,0.923,973.72,975.81,966.0,966.0,2031092,2031092,972.9706
2017-10-02,-6.25,0.8267279257866641,-0.642,967.47,977.74,961.95,975.65,1539122,1539122,969.1391
2017-10-03,4.61,0.835432294643452,0.47700000000000004,972.08,972.44,962.705,967.56,1083948,1083948,968.5239
2017-10-04,-5.3,0.8254251026822861,-0.545,966.78,974.4,965.61,971.76,1057769,1057769,969.096
2017-10-05,18.41,0.8601859336266381,1.904,985.19,986.5085,970.27,972.79,1780946,1780946,980.6436
2017-10-06,8.45,0.876140796281705,0.858,993.64,994.26,978.51,980.0,1553033,1553033,988.8792
2017-10-09,-1.33,0.8736295575442801,-0.134,992.31,1000.46,991.5,995.0,1295467,1295467,995.3202
2017-10-10,-4.51,0.8651140036301561,-0.454,987.8,997.47,981.11,995.3,1163400,1163400,988.6587
2017-10-11,17.85,0.898817470895592,1.807,1005.65,1007.57,987.94,989.04,1814999,1814999,1001.1
2017-10-12,0.0,0.898817470895592,0.0,1005.65,1011.54,1001.1,1003.84,1530664,1530664,1006.38
2017-10-13,2.22,0.903009162622722,0.221,1007.87,1014.76,1007.06,1009.11,1327632,1327632,1010.47
2017-10-16,1.48,0.905803623774142,0.147,1009.35,1012.0,1001.52,1009.63,1071023,1071023,1007.0
2017-10-17,1.65,0.90891907032809,0.163,1011.0,1014.56,1006.05,1007.44,1012998,1012998,1010.03
2017-10-18,1.74,0.9122044503304351,0.17200000000000001,1012.74,1016.31,1005.32,1011.05,1279780,1279780,1012.19
2017-10-19,-10.9,0.8916236215801131,-1.076,1001.84,1007.32,997.3,1004.75,1714243,1714243,1001.73
2017-10-20,3.23,0.8977223442281441,0.322,1005.07,1008.65,1002.27,1007.05,1606031,1606031,1005.08
2017-10-23,-19.53,0.8608467859259601,-1.943,985.54,1005.79,983.1,1005.18,1639294,1639294,990.7214
2017-10-24,2.95,0.866416826734534,0.299,988.49,989.26,977.08,986.5,1445129,1445129,986.0949
2017-10-25,2.9699999999999998,0.87202463053164,0.30000000000000004,991.46,994.43,977.722,986.27,1528710,1528710,987.1032
2017-10-26,-0.04,0.8719491045545751,-0.004,991.42,1006.51,990.47,998.47,2369838,2369838,996.7406
2017-10-27,42.25,0.9517234178299081,4.2620000000000005,1033.67,1063.62,1026.85,1030.99,5184143,5184143,1044.4
2017-10-30,-0.54,0.9507038171395251,-0.052000000000000005,1033.13,1039.83,1022.33,1029.16,2340172,2340172,1031.79
2017-10-31,-0.09,0.9505338836911281,-0.009000000000000001,1033.04,1041.0,1026.3,1033.0,1516278,1516278,1033.1
2017-11-01,9.555,0.9685845922097591,0.925,1042.6,1047.86,1034.0,1036.32,2163073,2163073,1043.09
